V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106612,GBIF_9812,Mycaranthes rhinoceros,-1.7,101.26667,2513808617,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ridl.,"Archipel. Ind. Sumatra, W.K. G.Koerintji.",NA,ID,NA,5,1920,PRESERVED_SPECIMEN,NA,Botany,L.1510873,"Bünnemeijer, HAB 10311",Bünnemeijer HAB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130677,Mycaranthes rhinoceros,Mycaranthes,rhinoceros,(Ridl.) Rauschert,Species,Accepted,NA,912850-1,130677,12,5,"c(101.26667, -1.7)",TRUE
106613,GBIF_9813,Mycaranthes rhinoceros,-4.93333,104.15,2513807052,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ridl.,"Sumatra, Bengkoeloe, S.Pesagi.",NA,ID,NA,3,1933,PRESERVED_SPECIMEN,NA,Botany,L.1510875,"Voogd, CNA de 1540",Voogd CNA de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130677,Mycaranthes rhinoceros,Mycaranthes,rhinoceros,(Ridl.) Rauschert,Species,Accepted,NA,912850-1,130677,12,5,"c(104.15, -4.93333)",TRUE
106617,GBIF_9819,Mycaranthes latifolia,3.71667,101.73333,2513808232,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Hook.f.,"Bukit Fraser, Bishop's Trail.",NA,MY,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1511151,Hort Bot Singapore SBGO 1589,Hort Bot Singapore,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130668,Mycaranthes latifolia,Mycaranthes,latifolia,Blume,Species,Accepted,NA,645032-1,130668,7,-1,"c(101.73333, 3.71667)",TRUE
106621,GBIF_9823,Mycaranthes oblitterata,6.08333,116.55,2513810682,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ridl. ex Stapf,NA,NA,MY,NA,6,1932,PRESERVED_SPECIMEN,NA,Botany,L.1511296,"Clemens, J; Clemens, MS 29844",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130675,Mycaranthes oblitterata,Mycaranthes,oblitterata,Blume,Species,Accepted,NA,645035-1,130675,12,1,"c(116.55, 6.08333)",TRUE
106625,GBIF_9829,Mycaranthes tricuspidata,-2.91667,119.43333,2513809459,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Rolfe,"Kpg. Batu, along road from Mamasa to Lombonang.",NA,ID,NA,9,2003,PRESERVED_SPECIMEN,NA,Botany,L.1511807,"Vermeulen, JJ 2264",Vermeulen JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130684,Mycaranthes tricuspidata,Mycaranthes,tricuspidata,(Rolfe) Rauschert,Species,Accepted,NA,912856-1,130684,12,4,"c(119.43333, -2.91667)",TRUE
106925,GBIF_10140,Mycaranthes farinosa,-1.83333,115.66667,2513297696,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ames & C.Schweinf.,"Path from Djaro Dam to Mt. Sarempaka, NE of Muara Uja, Kalimantan Selatan, Borneo.",NA,ID,NA,11,1971,PRESERVED_SPECIMEN,NA,Botany,L  0770959,"Vogel, EF de 1194",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467529,Mycaranthes farinosa,Mycaranthes,farinosa,(Ames & C.Schweinf.) J.J.Wood,Species,Accepted,NA,77113797-1,467529,11,17,"c(115.66667, -1.83333)",TRUE
107615,GBIF_10848,Mycaranthes obliqua,4.46667,115.71667,2513807845,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,(Lindl.) Lindl.,NA,NA,MY,NA,4,2000,PRESERVED_SPECIMEN,NA,Botany,L.1510725,"Lim, SP; Lamb, AL; Shahril SAN 143582",Lim SP; Lamb AL; Shahril,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130674,Mycaranthes obliqua,Mycaranthes,obliqua,Lindl.,Species,Accepted,NA,645034-1,130674,9,6,"c(115.71667, 4.46667)",TRUE
107624,GBIF_10859,Mycaranthes monostachya,-7.8667,111.8,2513810090,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Lindl.,Cult. in Hort. Bog. Java G. Wilis,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1511230,Unknown s.n.,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130672,Mycaranthes monostachya,Mycaranthes,monostachya,(Lindl.) Rauschert,Species,Accepted,NA,912848-1,130672,12,6,"c(111.8, -7.8667)",TRUE
107881,GBIF_11129,Mycaranthes schistoloba,-1.7,101.26667,2517198225,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Schltr.,"Archipel. Ind. Sumatra, W.K., G.Koerintji.",NA,ID,NA,4,1920,PRESERVED_SPECIMEN,NA,Botany,U.1465606,"Bünnemeijer, HAB 9715",Bünnemeijer HAB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130679,Mycaranthes schistoloba,Mycaranthes,schistoloba,(Schltr.) Rauschert,Species,Accepted,NA,912852-1,130679,12,7,"c(101.26667, -1.7)",TRUE
122727,GBIF_44026,Mycaranthes farinosa,4.35,115.68333,2513808480,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ames & C.Schweinf.,"Sabah, Interior Zone, E of trail Long Pa Sia - Long Samado",NA,MY,NA,12,1986,PRESERVED_SPECIMEN,NA,Botany,L.1510364,"Vermeulen, JJ; Duistermaat, H 987",Vermeulen JJ; Duistermaat H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467529,Mycaranthes farinosa,Mycaranthes,farinosa,(Ames & C.Schweinf.) J.J.Wood,Species,Accepted,NA,77113797-1,467529,11,17,"c(115.68333, 4.35)",TRUE
122736,GBIF_44035,Mycaranthes oblitterata,12.38333,102.78333,2513808823,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Rolfe,"Siam, collected from Kao Kuap, Korat and cultivated in Bangkok.",NA,TH,NA,6,1930,PRESERVED_SPECIMEN,NA,Botany,L.1510814,"Kerr, AFG 876",Kerr AFG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130675,Mycaranthes oblitterata,Mycaranthes,oblitterata,Blume,Species,Accepted,NA,645035-1,130675,4,1,"c(102.78333, 12.38333)",TRUE
122737,GBIF_44036,Mycaranthes oblitterata,3.5,101.5,2513808083,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Rolfe,"Semangko Pass, Selangor.",NA,MY,NA,NA,1904,PRESERVED_SPECIMEN,NA,Botany,L.1510816,"Ridley, HN 12024",Ridley HN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130675,Mycaranthes oblitterata,Mycaranthes,oblitterata,Blume,Species,Accepted,NA,645035-1,130675,4,1,"c(101.5, 3.5)",TRUE
123343,GBIF_44688,Mycaranthes farinosa,6.01667,116.6,2513807942,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ames & C.Schweinf.,"malaysia sabah ranau distr.; pinosuk plateau, between east mesilau and mentaki rivers",NA,MY,NA,4,1984,PRESERVED_SPECIMEN,NA,Botany,L.1510359,"Beaman, JH; Asher, JH; Beaman, RS; Bromley, SC; UKMS Systematics class 9374",Beaman JH; Asher JH; Beaman RS; Bromley SC; UKMS Systematics class,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467529,Mycaranthes farinosa,Mycaranthes,farinosa,(Ames & C.Schweinf.) J.J.Wood,Species,Accepted,NA,77113797-1,467529,11,17,"c(116.6, 6.01667)",TRUE
123352,GBIF_44697,Mycaranthes oblitterata,6.08333,116.55,2513807581,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ridl. ex Stapf,"Kinabalu, Menetendok Gorge.",NA,MY,NA,3,1933,PRESERVED_SPECIMEN,NA,Botany,L.1510687,"Carr, CE SFN 26636",Carr CE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130675,Mycaranthes oblitterata,Mycaranthes,oblitterata,Blume,Species,Accepted,NA,645035-1,130675,12,1,"c(116.55, 6.08333)",TRUE
123357,GBIF_44702,Mycaranthes rhinoceros,-1.7,101.26667,2513808716,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ridl.,"Archipel. Ind. Sumatra, W.K. G.Koerintji.",NA,ID,NA,4,1920,PRESERVED_SPECIMEN,NA,Botany,L.1510872,"Bünnemeijer, HAB 9654",Bünnemeijer HAB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130677,Mycaranthes rhinoceros,Mycaranthes,rhinoceros,(Ridl.) Rauschert,Species,Accepted,NA,912850-1,130677,12,5,"c(101.26667, -1.7)",TRUE
123364,GBIF_44710,Mycaranthes oblitterata,6.18333,116.45,2513808710,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ridl. ex Stapf,NA,NA,MY,NA,6,1933,PRESERVED_SPECIMEN,NA,Botany,L.1511293,"Clemens, J; Clemens, MS 32556 A!",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130675,Mycaranthes oblitterata,Mycaranthes,oblitterata,Blume,Species,Accepted,NA,645035-1,130675,12,1,"c(116.45, 6.18333)",TRUE
123371,GBIF_44721,Mycaranthes tricuspidata,-2.23333,120.76667,2513810032,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Rolfe,"Mangkutane-Pendolo divide, S flank",NA,ID,NA,2,2004,PRESERVED_SPECIMEN,NA,Botany,L.1511804,"Vermeulen, JJ 2552",Vermeulen JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130684,Mycaranthes tricuspidata,Mycaranthes,tricuspidata,(Rolfe) Rauschert,Species,Accepted,NA,912856-1,130684,12,4,"c(120.76667, -2.23333)",TRUE
123372,GBIF_44722,Mycaranthes tricuspidata,-2.23333,120.76667,2513808835,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Rolfe,"Mangkutane-Pendolo divide, S flank",NA,ID,NA,2,2004,PRESERVED_SPECIMEN,NA,Botany,L.1511806,"Vermeulen, JJ 2430",Vermeulen JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130684,Mycaranthes tricuspidata,Mycaranthes,tricuspidata,(Rolfe) Rauschert,Species,Accepted,NA,912856-1,130684,12,4,"c(120.76667, -2.23333)",TRUE
123666,GBIF_45034,Mycaranthes citrina,4.05,114.81667,2515300531,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ridl.,"Sarawak, Mulu area, along the west bank of the Melinau river, near the Royal Mulu Resort.",NA,MY,NA,3,1997,PRESERVED_SPECIMEN,NA,Botany,L.4173494,"Roelfsema, T; Schuiteman, A; Vogel, EF de 970496",Roelfsema T; Schuiteman A; Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130665,Mycaranthes citrina,Mycaranthes,citrina,(Ridl.) Rauschert,Species,Accepted,NA,912843-1,130665,12,5,"c(114.81667, 4.05)",TRUE
123822,GBIF_45209,Mycaranthes oblitterata,-7.0274,106.5509,2515478970,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,(Blume) Rchb.f.,Tjidadap,NA,ID,NA,11,1916,PRESERVED_SPECIMEN,NA,Botany,U.1465591,"Bakhuizen van den Brink Jr, RC 164",Bakhuizen van den Brink Jr RC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130675,Mycaranthes oblitterata,Mycaranthes,oblitterata,Blume,Species,Accepted,NA,645035-1,130675,10,5,"c(106.5509, -7.0274)",TRUE
131056,GBIF_55779,Mycaranthes floribunda,12.116667,108.7,1257660172,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Lindl.,"Distr. Ninh Son, municipality Phuoc Binh, 34 km to NE from Dalat city.",NA,VN,1850,4,1997,PRESERVED_SPECIMEN,MO,Tropicos,100310492,VH3586,L. V. Averyanov;Nguyen Quoc Binh;P.K. Lôc,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463433,Mycaranthes floribunda,Mycaranthes,floribunda,(D.Don) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104566-1,463433,25,1,"c(108.7, 12.116667)",TRUE
131657,GBIF_56425,Mycaranthes farinosa,-0.54,114.2787,1056914668,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ames & C.Schweinf.,NA,NA,ID,NA,3,1932,PRESERVED_SPECIMEN,NHMUK,BOT,BM000506829,s.n.,"Joseph Clemens, Mary Strong Clemens",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467529,Mycaranthes farinosa,Mycaranthes,farinosa,(Ames & C.Schweinf.) J.J.Wood,Species,Accepted,NA,77113797-1,467529,11,17,"c(114.2787, -0.54)",TRUE
131658,GBIF_56426,Mycaranthes magnicallosa,-0.54,114.2787,1057557977,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ames & C.Schweinf.,NA,NA,ID,NA,6,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000506878,33726,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467530,Mycaranthes magnicallosa,Mycaranthes,magnicallosa,(Ames & C.Schweinf.) J.J.Wood,Species,Accepted,NA,77113798-1,467530,11,17,"c(114.2787, -0.54)",TRUE
131659,GBIF_56427,Mycaranthes oblitterata,5.377939,117.087456,1057512602,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ridl. ex Stapf,NA,NA,MY,NA,4,1910,PRESERVED_SPECIMEN,NHMUK,BOT,BM000506928,4090,Lilian Suzette Gibbs,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,130675,Mycaranthes oblitterata,Mycaranthes,oblitterata,Blume,Species,Accepted,NA,645035-1,130675,12,1,"c(117.087456, 5.377939)",TRUE
132555,GBIF_57590,Mycaranthes farinosa,6.15,116.65,2513807400,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Mycaranthes,SPECIES,Ames & C.Schweinf.,"Sabah. West Coast Zone, Kinabalu National Park. Area near Park Headquarters.",NA,MY,NA,7,1986,PRESERVED_SPECIMEN,NA,Botany,L.1510358,"Vermeulen, JJ; Chen, CL 411",Vermeulen JJ; Chen CL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467529,Mycaranthes farinosa,Mycaranthes,farinosa,(Ames & C.Schweinf.) J.J.Wood,Species,Accepted,NA,77113797-1,467529,11,17,"c(116.65, 6.15)",TRUE
